ЖК;Тип Недвижимости;Тип квартиры;Площадь от;Этаж от;Цена до;кол-во по фильтру;адрес1;адрес2;адрес3;id;;;;;;;;
Континенты;новостройки;ст;;;3700000;4;Заречная улица, 11к4;Заречная улица, 17;улица Михаила Дудина, 12;2591517;;;;;;;;
Континенты;новостройки;1;;;5050000;5;Заречная улица, 11к4;Заречная улица, 18;улица Михаила Дудина, 13;60454;;;;;;;;
Континенты;новостройки;2;;;7320000;4;Заречная улица, 11к4;Заречная улица, 19;улица Михаила Дудина, 14;2591533;;;;;;;;
Континенты;новостройки;3;;;;5;Заречная улица, 11к4;Заречная улица, 20;улица Михаила Дудина, 15;60456;;;;;;;;
Vertical WE & I;новостройки;;;;;12;Большой Сампсониевский проспект, 74к2;Большой Сампсониевский проспект, 74;Большой Сампсониевский проспект, 71/16;52627;;;;;;;;
Звезды столиц;новостройки;ст;;;5070000;4;Среднерогатская улица, 10к1;Дунайский проспект, 13к2;Дунайский проспект, 7;2034058;;;;;;;;
Звезды столиц;новостройки;1;;;7200000;4;Среднерогатская улица, 10к1;Дунайский проспект, 13к3;Дунайский проспект, 8;74135;;;;;;;;
Звезды столиц;новостройки;2;;;10800000;10;Среднерогатская улица, 10к1;Дунайский проспект, 13к4;Дунайский проспект, 9;74133;;;;;;;;
Звезды столиц;новостройки;4Е;;;12900000;6;Среднерогатская улица, 10к1;Дунайский проспект, 13к5;Дунайский проспект, 10;2034052;;;;;;;;
Гавань капитанов;новостройки;ст;;;5600000;3;бульвар Александра Грина, 2к1;бульвар Александра Грина, 1;улица Вадима Шефнера, 10к1;59775;;;;;;;;
Гавань капитанов;новостройки;1;;;6900000;6;бульвар Александра Грина, 2к1;бульвар Александра Грина, 1;улица Вадима Шефнера, 10к1;59776;;;;;;;;
Гавань капитанов;новостройки;2;;;11000000;3;бульвар Александра Грина, 2к1;бульвар Александра Грина, 1;улица Вадима Шефнера, 10к1;59777;;;;;;;;
Гавань капитанов;новостройки;4Е;;;14000000;2;бульвар Александра Грина, 2к1;бульвар Александра Грина, 1;улица Вадима Шефнера, 10к1;59776;;;;;;;;
Гавань капитанов;новостройки;5Е;;;18300000;8;бульвар Александра Грина, 2к1;бульвар Александра Грина, 1;улица Вадима Шефнера, 10к1;59777;;;;;;;;
БелАрт;новостройки;ст;;;;8;Новолитовская улица, 14;проспект Маршала Блюхера, 7к3;проспект Маршала Блюхера, 8к1;3054618;;;;;;;;
БелАрт;новостройки;1;;;7400000;7;Новолитовская улица, 14;проспект Маршала Блюхера, 7к3;проспект Маршала Блюхера, 8к1;3054618;;;;;;;;
БелАрт;новостройки;2;;;10500000;8;Новолитовская улица, 14;проспект Маршала Блюхера, 7к3;проспект Маршала Блюхера, 8к1;3054618;;;;;;;;
БелАрт;новостройки;3;;;13500000;7;Новолитовская улица, 14;проспект Маршала Блюхера, 7к3;проспект Маршала Блюхера, 8к1;3054618;;;;;;;;
БелАрт;новостройки;4Е;;;;7;Новолитовская улица, 14;проспект Маршала Блюхера, 7к3;проспект Маршала Блюхера, 8к1;3054618;;;;;;;;
БелАрт;новостройки;5Е;;;;2;Новолитовская улица, 14;проспект Маршала Блюхера, 7к3;проспект Маршала Блюхера, 8к1;3054618;;;;;;;;
Status;новостройки;ст;;;6500000;6;Пулковское шоссе, 14с6;Дунайский проспект, 5;Дунайский проспект, 14к1;73608;;;;;;;;
Status;новостройки;2;;;;6;Пулковское шоссе, 14с6;Дунайский проспект, 5;Дунайский проспект, 14к1;73608;;;;;;;;
ЦДС Полюстрово ;новостройки;1;;;7500000;4;Пискарёвский проспект, 25к2;Львовская улица, 5А;Пискарёвский проспект, 16;55152;;;;;;;;
ЦДС Полюстрово ;новостройки;2;;;11000000;3;Пискарёвский проспект, 25к2;Львовская улица, 5А;Пискарёвский проспект, 16;55152;;;;;;;;
ЦДС Полюстрово ;новостройки;3Е;;;11000000;6;Пискарёвский проспект, 25к2;Львовская улица, 5А;Пискарёвский проспект, 16;55152;;;;;;;;
ЦДС Полюстрово ;новостройки;3;;;;6;Пискарёвский проспект, 25к2;Львовская улица, 5А;Пискарёвский проспект, 16;55152;;;;;;;;
ЦДС Полюстрово ;новостройки;4Е;;;;2;Пискарёвский проспект, 25к2;Львовская улица, 5А;Пискарёвский проспект, 16;;;;;;;;;
